web-scraper-order,web-scraper-start-url,Movie_Name,Year,Duration,Rating,Overview,link,link-href
"1728642008-1","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","1. Stree 2: Sarkate Ka Aatank","2024","2h 27m","7.3","After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.","1. Stree 2: Sarkate Ka Aatank","https://www.imdb.com/title/tt27510174/?ref_=sr_t_1"
"1728642008-2","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","2. Devara Part 1","2024","2h 56m","6.5","An epic action saga set against coastal lands, which briefs about rip-roaring ,emotionally charged incidents in the periodic timeline, also comprises the titular protagonist being the rescuer to deprived and fear to evildoers.","2. Devara Part 1","https://www.imdb.com/title/tt11821912/?ref_=sr_t_2"
"1728642008-3","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","3. Ulajh","2024","2h 30m","6.4","The journey of a young IFS officer, belonging to a prominent family of patriots, who gets embroiled in a dangerous personal conspiracy while far from her home turf, at a career-defining post.","3. Ulajh","https://www.imdb.com/title/tt19838634/?ref_=sr_t_3"
"1728642008-4","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","4. Auron Mein Kahan Dum Tha","2024","2h 30m","7.3","After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed.","4. Auron Mein Kahan Dum Tha","https://www.imdb.com/title/tt26659814/?ref_=sr_t_4"
"1728642008-5","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","5. Dharmaveer 2","2024","2h 10m","7.6","Explores Anand Dighe's life, tracing his political journey and capturing the essence of his impactful legacy as a prominent figure.","5. Dharmaveer 2","https://www.imdb.com/title/tt28631109/?ref_=sr_t_5"
"1728642008-6","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","6. Sector 36","2024","2h 3m","7.2","A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold.","6. Sector 36","https://www.imdb.com/title/tt21626774/?ref_=sr_t_6"
"1728642008-7","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","7. The Greatest of All Time","2024","3h 3m","6.1","Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past.","7. The Greatest of All Time","https://www.imdb.com/title/tt27487934/?ref_=sr_t_7"
"1728642008-8","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","8. Kalki 2898 AD","2024","3h","7.1","The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.","8. Kalki 2898 AD","https://www.imdb.com/title/tt12735488/?ref_=sr_t_8"
"1728642008-9","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","9. Saripodhaa Sanivaaram","2024","2h 46m","7.1","In order to defend the innocent from a corrupt and brutal cop, a vigilante hero must work around his own self-imposed code of honor.","9. Saripodhaa Sanivaaram","https://www.imdb.com/title/tt26903104/?ref_=sr_t_9"
"1728642008-10","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","10. Maharaja","2024","2h 21m","8.5","A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.","10. Maharaja","https://www.imdb.com/title/tt26548265/?ref_=sr_t_10"
"1728642008-11","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","11. Monkey Man","2024","2h 1m","6.9","An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.","11. Monkey Man","https://www.imdb.com/title/tt9214772/?ref_=sr_t_11"
"1728642008-12","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","12. CTRL","2024","1h 39m","6.4","Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control.","12. CTRL","https://www.imdb.com/title/tt12736014/?ref_=sr_t_12"
"1728642008-13","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","13. Munjya","2024","2h 3m","6.5","A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches.","13. Munjya","https://www.imdb.com/title/tt27995594/?ref_=sr_t_13"
"1728642008-14","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","14. Yudhra","2024","2h 22m","7.8","Action-packed ride with romance and drama involved.","14. Yudhra","https://www.imdb.com/title/tt14056466/?ref_=sr_t_14"
"1728642008-15","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","15. Bramayugam","2024","2h 19m","7.8","Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny.","15. Bramayugam","https://www.imdb.com/title/tt27431598/?ref_=sr_t_15"
"1728642008-16","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","16. Meiyazhagan","2024","2h 57m","8.4","A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.","16. Meiyazhagan","https://www.imdb.com/title/tt26758372/?ref_=sr_t_16"
"1728642008-17","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","17. Fighter","2024","2h 46m","6.2","A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.","17. Fighter","https://www.imdb.com/title/tt13818368/?ref_=sr_t_17"
"1728642008-18","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","18. All We Imagine as Light","2024","1h 58m","7.1","In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend.","18. All We Imagine as Light","https://www.imdb.com/title/tt32086077/?ref_=sr_t_18"
"1728642008-19","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","19. Khel Khel Mein","2024","2h 15m","7.1","Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.","19. Khel Khel Mein","https://www.imdb.com/title/tt27056012/?ref_=sr_t_19"
"1728642008-20","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","20. Thalavan","2024","2h 11m","7.2","Retired Dysp Udhayabhanu narrates events of his professional life in a TV program. He reveals the intriguing details of the 'Chepanamthota case', a milestone event in his career.","20. Thalavan","https://www.imdb.com/title/tt27510257/?ref_=sr_t_20"
"1728642008-21","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","21. Kishkindha Kaandam","2024","2h 13m","8.6","Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances.","21. Kishkindha Kaandam","https://www.imdb.com/title/tt15980138/?ref_=sr_t_21"
"1728642008-22","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","22. Binny and Family","2024","2h 20m","8.8","Rebellious teenage Binny and her conservative grandfather from Bihar connect after a dramatic incident. Can the contrasting personalities bridge generational gaps and impact each other's lives?","22. Binny and Family","https://www.imdb.com/title/tt20452454/?ref_=sr_t_22"
"1728642008-23","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","23. Bibi Rajni","2024","2h 23m","8.6","A true event-based thought, who always had faith in Waheguru (God). The Masterpiece, which is designed for people of all ages, is a complete family watch for those wanting to learn and know about Sikhism heritage. Plot by: Tejpal Pataria","23. Bibi Rajni","https://www.imdb.com/title/tt32526187/?ref_=sr_t_23"
"1728642008-24","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","24. Lubber Pandhu","2024","2h 26m","8.9","Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test.","24. Lubber Pandhu","https://www.imdb.com/title/tt27007466/?ref_=sr_t_24"
"1728642008-25","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","25. Maharaj","2024","2h 11m","6.5","Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.","25. Maharaj","https://www.imdb.com/title/tt4501268/?ref_=sr_t_25"
"1728642008-26","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","26. The Goat Life","2024","2h 53m","7.1","An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.","26. The Goat Life","https://www.imdb.com/title/tt5525650/?ref_=sr_t_26"
"1728642008-27","https://www.imdb.com/search/title/?title_type=feature&release_date=2024-01-01,2024-12-31&countries=IN&sort=year,desc","27. Siddharth Roy","2024","2h 28m","7.2","Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil.","27. Siddharth Roy","https://www.imdb.com/title/tt27917467/?ref_=sr_t_27"
