,movie_id,movie_name,year,genre,overview,director,cast,movie_id2,Keywords
0,tt15354916,Jawan,2023,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",15354916,"revenge, chase, suicide, farmer, train, injustice, police, promise, prison, doctor, showdown, society, battle, fight, high octane, vigilante justice, father son relationship, scene during end credits, song during end credits, final battle, dual role, hijack, women empowerment, husband wife relationship, mother son relationship, pregnant woman, intermission, song and dance, mother daughter relationship, action hero, action violence, brother brother relationship, memory loss, dog killed, murder of dog, stabbed with a pen, hanged to death, father daughter relationship, marriage, shot multiple times, vigilante, one person army action, gun action, gun battle, shootout, corruption, suspense, death of villain, indestructible, killing machine"
1,tt15748830,Jaane Jaan,2023,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva",15748830,"single mother, police, investigation, criminal, based on novel"
2,tt11663228,Jailer,2023,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff",11663228,"prison, ex cop, intermission, action hero, one word title, action violence, shootout, one person army action"
3,tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi",14993250,"love, family relationships, rom com, news reporter, long lost love, extramarital affair, grandfather grandson relationship, grandmother granddaughter relationship, strict grandmother"
4,tt15732324,OMG 2,2023,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra",15732324,"courtroom, sex education, court room drama, reference to shiva the hindu deity, masturbation, devotional, prayer"
5,tt18266472,Sukhee,2023,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila",18266472,
6,tt18561736,The Great Indian Family,2023,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit",18561736,
7,tt3691740,The BFG,2016,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",3691740,"orphan, giant, dream, queen, london england, england, based on book, orphan girl, little girl, roald dahl, title spoken by character, reading under the covers, male and female protagonists, live action cgi hybrid, no opening credits, live action and animation, girl wears eyeglasses, literature on screen, european literature on screen, live action adaptation, human nonhuman relationship, orphanage, close up of eyes, ginger tabby cat, cat, acronym in title, imagination, evil brother, cannibal, based on novel, aquaphobia, flashlight, dollhouse, heroine, lens flare, motion capture, british literature on screen, 20th century literature on screen, british humoristic literature on screen, humoristic literature on screen, children's literature on screen, british children's literature on screen, fantasy literature on screen, british fantasy literature on screen, abbreviation in title, title same as book, 10 year old, child protagonist, urban fantasy, high fantasy"
8,tt12844910,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia",12844910,"fight in a train, fight atop a moving train, underwater scene, yrf spy universe, undercover cop, spy, wisecrack humor, one word title, mountain, snow, frozen lake, reference to covid 19, reference to instagram, reference to twitter, virus, smallpox, paris france, character name in title, shared universe, fight, violence, mercenary, flashback, train, fight on train roof, fight on a moving train, fighting on the roof of a train, helicopter, gun, tunnel, bridge, destroyed bridge, motorcycle, one man army, one against many, raw, isi, india, dubai, moscow russia, russian, local blockbuster, motorcycle chase, car chase, fight above truck, spy action"
9,tt15464390,Mastaney,2023,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol",15464390,"army, 18th century, sikh"
